date,time,volume,high,low,open,close
2017-10-01,09:59:12,0.70756249,4948000.0,4887000.0,4889000.0,4914000.0
2017-10-01,10:59:46,4.50926112,4919000.0,4857000.0,4905000.0,4919000.0
2017-10-01,11:59:41,0.69751233,4922000.0,4839000.0,4919000.0,4839000.0
2017-10-01,12:56:02,3.10170376,4862000.0,4819000.0,4832000.0,4858000.0
2017-10-01,13:55:28,1.5986884,4871000.0,4851000.0,4864000.0,4857000.0
2017-10-01,14:55:42,2.12965783,4867000.0,4682000.0,4844000.0,4865000.0
2017-10-01,15:59:31,1.74525375,4896000.0,4869000.0,4869000.0,4872000.0
2017-10-01,16:59:55,0.57217734,4896000.0,4874000.0,4875000.0,4884000.0
2017-10-01,17:58:17,0.53620015,4889000.0,4867000.0,4883000.0,4870000.0
2017-10-01,18:59:50,1.01399078,4885000.0,4869000.0,4875000.0,4879000.0
2017-10-01,19:59:48,0.27906151,4908000.0,4878000.0,4879000.0,4896000.0
2017-10-01,20:59:11,0.22159095,4915000.0,4894000.0,4901000.0,4908000.0
2017-10-01,21:59:34,1.38520633,4913000.0,4861000.0,4913000.0,4878000.0
2017-10-01,22:59:30,1.11520767,4884000.0,4856000.0,4883000.0,4871000.0
2017-10-01,23:59:07,3.51946959,4887000.0,4856000.0,4870000.0,4886000.0
2017-10-02,00:59:23,0.19590217,4901000.0,4872000.0,4880000.0,4889000.0
2017-10-02,01:59:24,0.17495916,4903000.0,4885000.0,4893000.0,4890000.0
2017-10-02,02:59:47,0.25833095,4892000.0,4875000.0,4891000.0,4882000.0
2017-10-02,03:58:58,0.74146047,4895000.0,4875000.0,4885000.0,4895000.0
2017-10-02,04:59:44,0.26835216,4908000.0,4889000.0,4895000.0,4903000.0
2017-10-02,05:59:38,0.31355871,4916000.0,4895000.0,4899000.0,4912000.0
2017-10-02,06:59:51,0.30859543,4943000.0,4916000.0,4917000.0,4935000.0
2017-10-02,07:59:37,1.56047851,4978000.0,4930000.0,4934000.0,4975000.0
2017-10-02,09:00:00,0.3691509,4977000.0,4958000.0,4972000.0,4962000.0
2017-10-02,09:59:44,1.12482289,5002000.0,4956000.0,4962000.0,5002000.0
2017-10-02,10:59:54,0.20571329,5008000.0,4989000.0,5003000.0,5003000.0
2017-10-02,11:59:22,0.88899493,5057000.0,5004000.0,5004000.0,5017000.0
2017-10-02,12:59:11,0.75581803,5027000.0,4997000.0,5017000.0,5015000.0
2017-10-02,13:59:50,1.00690768,5053000.0,5019000.0,5020000.0,5040000.0
2017-10-02,14:59:12,3.5625907999999997,5090000.0,5040000.0,5040000.0,5083000.0
2017-10-02,15:59:47,0.87496198,5094000.0,5063000.0,5083000.0,5072000.0
2017-10-02,16:59:47,3.06355959,5091000.0,5040000.0,5072000.0,5041000.0
2017-10-02,17:59:04,2.43594787,5082000.0,5040000.0,5040000.0,5080000.0
2017-10-02,18:59:46,0.50823345,5095000.0,5058000.0,5076000.0,5082000.0
2017-10-02,19:59:48,0.22747263,5088000.0,5069000.0,5088000.0,5078000.0
2017-10-02,20:59:51,0.64910731,5088000.0,4998000.0,5078000.0,4998000.0
2017-10-02,21:59:44,5.68830167,5050000.0,4998000.0,4998000.0,5015000.0
2017-10-02,22:59:35,0.60294974,5043000.0,5011000.0,5019000.0,5042000.0
2017-10-02,23:59:39,3.63591909,5062000.0,5028000.0,5036000.0,5058000.0
2017-10-03,00:59:53,0.56331186,5060000.0,4999000.0,5053000.0,4999000.0
2017-10-03,01:59:22,0.74832469,5040000.0,5002000.0,5006000.0,5031000.0
2017-10-03,02:59:41,0.94391613,5037000.0,5010000.0,5031000.0,5010000.0
2017-10-03,03:59:24,0.79955676,5036000.0,5002000.0,5010000.0,5032000.0
2017-10-03,04:59:07,0.66562849,5054000.0,5025000.0,5032000.0,5046000.0
2017-10-03,05:59:44,0.130599,5048000.0,5028000.0,5046000.0,5041000.0
2017-10-03,06:59:56,1.1137692,5047000.0,5016000.0,5036000.0,5023000.0
2017-10-03,07:59:38,0.92501711,5030000.0,5011000.0,5021000.0,5012000.0
2017-10-03,08:59:24,0.60657966,5035000.0,5009000.0,5014000.0,5025000.0
2017-10-03,09:59:41,0.3000364,5024000.0,5004000.0,5021000.0,5010000.0
2017-10-03,10:59:52,0.5914841,5028000.0,5003000.0,5010000.0,5028000.0
2017-10-03,11:59:56,0.47301948,5056000.0,5023000.0,5023000.0,5046000.0
2017-10-03,12:59:07,0.132873,5052000.0,5033000.0,5046000.0,5048000.0
2017-10-03,13:59:38,0.14278091,5047000.0,5034000.0,5047000.0,5043000.0
2017-10-03,14:59:49,0.33284215,5041000.0,5025000.0,5041000.0,5030000.0
2017-10-03,15:56:44,0.060164999999999996,5030000.0,5025000.0,5025000.0,5026000.0
2017-10-03,16:59:54,3.24061517,5079000.0,4878000.0,5028000.0,4922000.0
2017-10-03,17:59:46,0.6245586,4976000.0,4914000.0,4919000.0,4973000.0
2017-10-03,18:59:00,0.48134888,4975000.0,4920000.0,4975000.0,4928000.0
2017-10-03,19:59:03,2.93356155,4992000.0,4811000.0,4928000.0,4936000.0
2017-10-03,20:59:16,0.12875,4954000.0,4897000.0,4936000.0,4916000.0
