timestamp,accPrice,volume,candleDateTime,candleDateTimeKst,high,low,open,close
1506819530545.0,1079.95,0.0022,2017-10-01T00:00:00+00:00,2017-10-01T09:00:00+09:00,496000.0,484500.0,489500.0,496000.0
1506823136326.0,1079.55,0.0022,2017-10-01T01:00:00+00:00,2017-10-01T10:00:00+09:00,494500.0,488000.0,494500.0,491500.0
1506826670629.0,1025.3,0.0021,2017-10-01T02:00:00+00:00,2017-10-01T11:00:00+09:00,492000.0,484000.0,492000.0,488500.0
1506830312723.0,1067.35,0.0022,2017-10-01T03:00:00+00:00,2017-10-01T12:00:00+09:00,488000.0,479500.0,486000.0,484000.0
1506833938515.0,1068.4,0.0022,2017-10-01T04:00:00+00:00,2017-10-01T13:00:00+09:00,489000.0,483500.0,487000.0,485500.0
1506837579775.0,1067.65,0.0022,2017-10-01T05:00:00+00:00,2017-10-01T14:00:00+09:00,487500.0,478500.0,485500.0,487000.0
1506841079733.0,1020.05,0.0021,2017-10-01T06:00:00+00:00,2017-10-01T15:00:00+09:00,488500.0,482500.0,486500.0,482500.0
1506844730310.0,1066.4,0.0022,2017-10-01T07:00:00+00:00,2017-10-01T16:00:00+09:00,487500.0,482500.0,484500.0,487500.0
1506848238069.0,1017.15,0.0021,2017-10-01T08:00:00+00:00,2017-10-01T17:00:00+09:00,487000.0,482500.0,486000.0,483000.0
1506851917585.0,1065.25,0.0022,2017-10-01T09:00:00+00:00,2017-10-01T18:00:00+09:00,487000.0,481500.0,481500.0,487000.0
1506855554496.0,1067.4,0.0022,2017-10-01T10:00:00+00:00,2017-10-01T19:00:00+09:00,488000.0,483500.0,485500.0,484500.0
1506859039032.0,1018.2,0.0021,2017-10-01T11:00:00+00:00,2017-10-01T20:00:00+09:00,489000.0,481500.0,487000.0,483500.0
1506862680812.0,1055.9,0.0022,2017-10-01T12:00:00+00:00,2017-10-01T21:00:00+09:00,482500.0,478000.0,482500.0,481000.0
1506866332216.0,1052.8,0.0022,2017-10-01T13:00:00+00:00,2017-10-01T22:00:00+09:00,481000.0,476000.0,481000.0,478500.0
1506869953713.0,1054.6,0.0022,2017-10-01T14:00:00+00:00,2017-10-01T23:00:00+09:00,481000.0,476500.0,478000.0,479000.0
1506873576540.0,1053.7,0.0022,2017-10-01T15:00:00+00:00,2017-10-02T00:00:00+09:00,480500.0,475000.0,479500.0,475000.0
1506877179510.0,1054.9,0.0022,2017-10-01T16:00:00+00:00,2017-10-02T01:00:00+09:00,483500.0,474500.0,474500.0,483500.0
1506880774062.0,1057.95,0.0022,2017-10-01T17:00:00+00:00,2017-10-02T02:00:00+09:00,483000.0,478000.0,483000.0,478500.0
1506884375399.0,1054.55,0.0022,2017-10-01T18:00:00+00:00,2017-10-02T03:00:00+09:00,481000.0,475500.0,480500.0,478500.0
1506887984122.0,1053.5,0.0022,2017-10-01T19:00:00+00:00,2017-10-02T04:00:00+09:00,481000.0,476500.0,479000.0,477000.0
1506891575477.0,1049.85,0.0022,2017-10-01T20:00:00+00:00,2017-10-02T05:00:00+09:00,479000.0,475000.0,477000.0,476000.0
1506895168749.0,1048.65,0.0022,2017-10-01T21:00:00+00:00,2017-10-02T06:00:00+09:00,478500.0,475000.0,475500.0,475500.0
1506898789304.0,1042.65,0.0022,2017-10-01T22:00:00+00:00,2017-10-02T07:00:00+09:00,477500.0,471500.0,474000.0,476000.0
1506902378050.0,1039.6,0.0022,2017-10-01T23:00:00+00:00,2017-10-02T08:00:00+09:00,475500.0,467500.0,473500.0,467500.0
1506905985733.0,1043.6,0.0022,2017-10-02T00:00:00+00:00,2017-10-02T09:00:00+09:00,480000.0,467500.0,467500.0,477000.0
1506909573777.0,1054.55,0.0022,2017-10-02T01:00:00+00:00,2017-10-02T10:00:00+09:00,483000.0,475500.0,477500.0,481500.0
1506913090356.0,1007.9,0.0021,2017-10-02T02:00:00+00:00,2017-10-02T11:00:00+09:00,484000.0,475500.0,482000.0,475500.0
1506916719402.0,1050.75,0.0022,2017-10-02T03:00:00+00:00,2017-10-02T12:00:00+09:00,481000.0,475000.0,476500.0,480500.0
1506920375551.0,1050.05,0.0022,2017-10-02T04:00:00+00:00,2017-10-02T13:00:00+09:00,481500.0,473500.0,481000.0,475500.0
1506923845269.0,997.8,0.0021,2017-10-02T05:00:00+00:00,2017-10-02T14:00:00+09:00,479000.0,472000.0,478000.0,477000.0
1506927461115.0,1044.65,0.0022,2017-10-02T06:00:00+00:00,2017-10-02T15:00:00+09:00,478000.0,472500.0,472500.0,477000.0
1506931115083.0,1043.55,0.0022,2017-10-02T07:00:00+00:00,2017-10-02T16:00:00+09:00,477000.0,472000.0,477000.0,473000.0
1506934741856.0,1042.25,0.0022,2017-10-02T08:00:00+00:00,2017-10-02T17:00:00+09:00,476500.0,471500.0,472000.0,475000.0
1506938390100.0,1039.45,0.0022,2017-10-02T09:00:00+00:00,2017-10-02T18:00:00+09:00,475500.0,470500.0,474000.0,472500.0
1506941843569.0,995.75,0.0021,2017-10-02T10:00:00+00:00,2017-10-02T19:00:00+09:00,477000.0,472000.0,474500.0,477000.0
