	날짜	시가	종가	고가	저가	거래량
1	2018.05.28	2040.0	2015.0	2055.0	2010.0	98236.0
2	2018.05.25	2000.0	2010.0	2390.0	2000.0	784202.0
3	2018.05.24	2000.0	2000.0	2000.0	2000.0	5005.0
4	2018.05.23	1995.0	1995.0	2000.0	1995.0	10593.0
5	2018.05.21	1995.0	1990.0	2000.0	1990.0	8070.0
9	2018.05.18	1995.0	1990.0	1995.0	1990.0	4272.0
10	2018.05.17	1985.0	1990.0	1990.0	1985.0	4052.0
11	2018.05.16	1995.0	1995.0	1995.0	1995.0	938.0
12	2018.05.15	1990.0	1990.0	1990.0	1990.0	2465.0
13	2018.05.14	1990.0	1990.0	2000.0	1990.0	11012.0
16	2018.05.11	1990.0	2000.0	2000.0	1990.0	5721.0
17	2018.05.10	1985.0	1990.0	1990.0	1985.0	1087.0
18	2018.05.09	2000.0	2000.0	2000.0	1995.0	700.0
19	2018.05.08	1990.0	2000.0	2000.0	1990.0	18786.0
20	2018.05.04	1985.0	1985.0	1985.0	1985.0	663.0
24	2018.05.03	2000.0	1995.0	2000.0	1990.0	2744.0
25	2018.05.02	1990.0	2000.0	2000.0	1990.0	1452.0
26	2018.04.30	1985.0	1990.0	1990.0	1985.0	1102.0
27	2018.04.27	1990.0	1990.0	2000.0	1990.0	708.0
28	2018.04.26	1995.0	1990.0	1995.0	1985.0	707.0
31	2018.04.25	1995.0	1995.0	1995.0	1990.0	1618.0
32	2018.04.24	1990.0	1995.0	1995.0	1990.0	3000.0
33	2018.04.23	1990.0	1990.0	1990.0	1985.0	11123.0
34	2018.04.20	1990.0	1990.0	1990.0	1990.0	529.0
35	2018.04.19	1995.0	1995.0	1995.0	1995.0	1105.0
39	2018.04.18	1995.0	1995.0	1995.0	1985.0	3726.0
40	2018.04.17	1990.0	1985.0	2000.0	1985.0	11900.0
41	2018.04.16	1985.0	1990.0	1995.0	1985.0	1433.0
42	2018.04.13	1990.0	2000.0	2005.0	1990.0	5821.0
43	2018.04.12	1985.0	1990.0	2000.0	1985.0	1058.0
46	2018.04.11	2000.0	2000.0	2000.0	1990.0	2899.0
47	2018.04.10	1990.0	2000.0	2000.0	1985.0	3584.0
48	2018.04.09	1995.0	2000.0	2000.0	1995.0	3327.0
49	2018.04.06	1990.0	1995.0	2000.0	1990.0	5557.0
50	2018.04.05	1995.0	2000.0	2000.0	1995.0	1289.0
54	2018.04.04	1985.0	1995.0	1995.0	1985.0	2847.0
55	2018.04.03	1985.0	1995.0	1995.0	1985.0	3899.0
56	2018.04.02	1990.0	2005.0	2005.0	1980.0	7655.0
57	2018.03.30	1995.0	1995.0	1995.0	1995.0	0.0
58	2018.03.29	1995.0	1995.0	1995.0	1995.0	2011.0
61	2018.03.28	1990.0	1995.0	2000.0	1990.0	1220.0
62	2018.03.27	2000.0	2000.0	2000.0	1995.0	2014.0
63	2018.03.26	1995.0	1995.0	1995.0	1995.0	2538.0
64	2018.03.23	2000.0	1995.0	2000.0	1995.0	3855.0
65	2018.03.22	1990.0	2000.0	2000.0	1990.0	173.0
69	2018.03.21	1995.0	1990.0	2000.0	1990.0	1079.0
70	2018.03.20	1995.0	1995.0	1995.0	1995.0	100.0
71	2018.03.19	1995.0	1995.0	2000.0	1995.0	12023.0
72	2018.03.16	1990.0	1995.0	1995.0	1990.0	1248.0
73	2018.03.15	1985.0	1990.0	1990.0	1985.0	200.0
76	2018.03.14	1980.0	1985.0	1995.0	1980.0	8463.0
77	2018.03.13	1975.0	1985.0	2000.0	1975.0	1106.0
78	2018.03.12	1995.0	1970.0	2000.0	1970.0	5372.0
79	2018.03.09	1995.0	1995.0	1995.0	1995.0	50.0
80	2018.03.08	1995.0	2000.0	2000.0	1995.0	9566.0
84	2018.03.07	1995.0	1995.0	2000.0	1995.0	6097.0
85	2018.03.06	2000.0	1995.0	2000.0	1995.0	13366.0
86	2018.03.05	1995.0	1995.0	2000.0	1995.0	13357.0
87	2018.03.02	1985.0	1995.0	1995.0	1985.0	804.0
88	2018.02.28	1985.0	1985.0	1985.0	1980.0	762.0
91	2018.02.27	1990.0	1985.0	1990.0	1985.0	6.0
92	2018.02.26	1995.0	1980.0	1995.0	1975.0	4886.0
93	2018.02.23	1985.0	1990.0	1990.0	1985.0	22.0
94	2018.02.22	1990.0	1985.0	1995.0	1985.0	5287.0
95	2018.02.21	1975.0	1985.0	1985.0	1975.0	34.0
99	2018.02.20	1990.0	1990.0	1995.0	1990.0	15437.0
100	2018.02.19	1980.0	1995.0	1995.0	1980.0	6475.0
101	2018.02.14	1990.0	1980.0	1995.0	1980.0	54.0
102	2018.02.13	1980.0	1990.0	1990.0	1975.0	10033.0
103	2018.02.12	1980.0	1995.0	1995.0	1975.0	10051.0
106	2018.02.09	1990.0	1990.0	1990.0	1985.0	361.0
107	2018.02.08	1985.0	1985.0	1990.0	1985.0	3000.0
108	2018.02.07	1970.0	1995.0	1995.0	1970.0	3002.0
109	2018.02.06	1975.0	1990.0	1995.0	1975.0	6821.0
110	2018.02.05	1970.0	1990.0	1990.0	1970.0	12401.0
114	2018.02.02	1975.0	1990.0	1995.0	1975.0	10963.0
115	2018.02.01	1990.0	1995.0	1995.0	1990.0	4112.0
116	2018.01.31	1995.0	1990.0	1995.0	1975.0	14012.0
117	2018.01.30	1985.0	1995.0	1995.0	1985.0	15800.0
118	2018.01.29	1980.0	1990.0	1990.0	1980.0	20860.0
121	2018.01.26	1970.0	1985.0	1985.0	1970.0	1764.0
122	2018.01.25	1975.0	1985.0	1985.0	1975.0	3202.0
123	2018.01.24	1985.0	1980.0	1985.0	1980.0	16966.0
124	2018.01.23	1975.0	1975.0	1975.0	1965.0	10384.0
125	2018.01.22	1960.0	1980.0	1990.0	1960.0	13446.0
129	2018.01.19	1960.0	1975.0	1975.0	1960.0	10356.0
130	2018.01.18	1955.0	1965.0	1965.0	1955.0	7637.0
131	2018.01.17	1960.0	1965.0	1975.0	1960.0	5567.0
132	2018.01.16	1975.0	1960.0	1975.0	1960.0	1538.0
133	2018.01.15	1955.0	1975.0	1975.0	1955.0	8496.0
136	2018.01.12	1965.0	1970.0	1975.0	1965.0	3494.0
137	2018.01.11	1960.0	1965.0	1965.0	1960.0	7686.0
138	2018.01.10	1960.0	1960.0	1965.0	1955.0	13980.0
